1,15929
2,14339
3,15930
4,15930
5,15930
6,14339
7,14338
8,14338
9,14339
10,15929
11,14338
12,15930
13,15930
14,15930
15,14338
16,14339
17,15929
18,15930
19,14339
20,14339
21,15930
22,14339
23,14339
24,14339
25,15929
26,14339
27,15929
28,15930
29,15930
30,15929
31,14338
32,14338
33,15929
34,14338
35,15930
36,15929
37,15930
38,14338
39,15930
40,14338
41,14338
42,14339
43,15930
44,15930
45,14338
46,14339
47,14338
48,14339
49,15930
50,14338
51,15929
52,15929
53,14339
54,15930
55,15930
56,14338
57,14338
58,14338
59,15930
60,15930
61,15930
62,14338
63,15930
64,14339
65,15930
66,14338
67,15930
68,14338
69,15930
70,14338
71,15930
72,14338
73,14339
74,14338
75,14338
76,15930
77,15929
78,14339
79,14338
80,14338
81,14338
82,15929
83,14339
84,14338
85,14339
86,15929
87,14338
88,14339
89,14339
90,15929
91,14338
92,14338
93,14339
94,14339
95,15930
96,14338
97,15929
98,14339
99,15930
100,15929
